[2024-12-10 02:08:48.418 PM] error: 	Autentication Failed false
[2024-12-10 02:08:48.432 PM] info: 	Autentication Success
[2024-12-10 02:08:48.433 PM] info: 	BEFORE DB Get Connection
[2024-12-10 02:08:48.461 PM] info: 	BEFORE DB Execution
[2024-12-10 02:08:48.495 PM] info: 	AFTER DB Execution Success
[2024-12-10 02:08:48.495 PM] info: 	BEFORE DB Connection Close
[2024-12-10 02:08:48.496 PM] info: 	BEFORE DB Get Connection
[2024-12-10 02:08:48.498 PM] info: 	AFTER DB Connection Close
[2024-12-10 02:08:48.536 PM] info: 	BEFORE DB Execution
[2024-12-10 02:08:48.569 PM] info: 	AFTER DB Execution Success
[2024-12-10 02:08:48.570 PM] info: 	BEFORE DB Connection Close
[2024-12-10 02:08:48.582 PM] info: 	AFTER DB Connection Close
[2024-12-10 02:08:49.900 PM] info: 	BEFORE DB Get Connection
[2024-12-10 02:08:49.941 PM] info: 	BEFORE DB Execution
[2024-12-10 02:08:49.975 PM] info: 	AFTER DB Execution Success
[2024-12-10 02:08:49.975 PM] info: 	BEFORE DB Connection Close
[2024-12-10 02:08:49.976 PM] info: 	BEFORE DB Get Connection
[2024-12-10 02:08:49.978 PM] info: 	AFTER DB Connection Close
[2024-12-10 02:08:50.002 PM] info: 	BEFORE DB Execution
[2024-12-10 02:08:50.016 PM] info: 	AFTER DB Execution Success
[2024-12-10 02:08:50.017 PM] info: 	BEFORE DB Connection Close
[2024-12-10 02:08:50.017 PM] info: 	BEFORE DB Get Connection
[2024-12-10 02:08:50.019 PM] info: 	AFTER DB Connection Close
[2024-12-10 02:08:50.040 PM] info: 	BEFORE DB Execution
[2024-12-10 02:08:50.041 PM] info: 	AFTER DB Execution Success
[2024-12-10 02:08:50.041 PM] info: 	BEFORE DB Connection Close
[2024-12-10 02:08:50.041 PM] info: 	BEFORE DB Get Connection
[2024-12-10 02:08:50.043 PM] info: 	AFTER DB Connection Close
[2024-12-10 02:08:50.066 PM] info: 	BEFORE DB Execution
[2024-12-10 02:08:50.068 PM] info: 	AFTER DB Execution Success
[2024-12-10 02:08:50.068 PM] info: 	BEFORE DB Connection Close
[2024-12-10 02:08:50.068 PM] info: 	BEFORE DB Get Connection
[2024-12-10 02:08:50.070 PM] info: 	AFTER DB Connection Close
[2024-12-10 02:08:50.091 PM] info: 	BEFORE DB Execution
[2024-12-10 02:08:50.092 PM] info: 	AFTER DB Execution Success
[2024-12-10 02:08:50.092 PM] info: 	BEFORE DB Connection Close
[2024-12-10 02:08:50.092 PM] info: 	BEFORE DB Get Connection
[2024-12-10 02:08:50.094 PM] info: 	AFTER DB Connection Close
[2024-12-10 02:08:50.116 PM] info: 	BEFORE DB Execution
[2024-12-10 02:08:50.118 PM] info: 	AFTER DB Execution Success
[2024-12-10 02:08:50.118 PM] info: 	BEFORE DB Connection Close
[2024-12-10 02:08:50.120 PM] info: 	AFTER DB Connection Close
[2024-12-10 02:08:54.198 PM] info: 	BEFORE DB Get Connection
[2024-12-10 02:08:54.236 PM] info: 	BEFORE DB Get Connection
[2024-12-10 02:08:54.237 PM] info: 	BEFORE DB Execution
[2024-12-10 02:08:54.238 PM] info: 	AFTER DB Execution Success
[2024-12-10 02:08:54.239 PM] info: 	BEFORE DB Connection Close
[2024-12-10 02:08:54.239 PM] info: 	BEFORE DB Get Connection
[2024-12-10 02:08:54.240 PM] info: 	AFTER DB Connection Close
[2024-12-10 02:08:54.259 PM] info: 	BEFORE DB Execution
[2024-12-10 02:08:54.260 PM] info: 	AFTER DB Execution Success
[2024-12-10 02:08:54.261 PM] info: 	BEFORE DB Connection Close
[2024-12-10 02:08:54.261 PM] info: 	BEFORE DB Get Connection
[2024-12-10 02:08:54.262 PM] info: 	BEFORE DB Execution
