[2024-04-30 10:14:06.158 AM] info: 	DB Initialized
[2024-04-30 10:16:15.136 AM] info: 	BEFORE DB Get Connection
[2024-04-30 10:16:15.693 AM] info: 	BEFORE DB Execution
[2024-04-30 10:16:15.737 AM] info: 	AFTER DB Execution Success
[2024-04-30 10:16:15.737 AM] info: 	BEFORE DB Connection Close
[2024-04-30 10:16:15.781 AM] info: 	AFTER DB Connection Close
[2024-04-30 10:16:17.498 AM] info: 	BEFORE DB Get Connection
[2024-04-30 10:16:17.556 AM] info: 	BEFORE DB Execution
[2024-04-30 10:16:17.585 AM] info: 	AFTER DB Execution Success
[2024-04-30 10:16:17.586 AM] info: 	BEFORE DB Connection Close
[2024-04-30 10:16:17.593 AM] info: 	AFTER DB Connection Close
[2024-04-30 10:16:18.480 AM] info: 	BEFORE DB Get Connection
[2024-04-30 10:16:18.521 AM] info: 	BEFORE DB Execution
[2024-04-30 10:16:18.549 AM] info: 	AFTER DB Execution Success
[2024-04-30 10:16:18.550 AM] info: 	BEFORE DB Connection Close
[2024-04-30 10:16:18.562 AM] info: 	AFTER DB Connection Close
[2024-04-30 10:16:20.405 AM] info: 	BEFORE DB Get Connection
[2024-04-30 10:16:20.487 AM] info: 	BEFORE DB Execution
[2024-04-30 10:16:20.519 AM] info: 	AFTER DB Execution Success
[2024-04-30 10:16:20.520 AM] info: 	BEFORE DB Connection Close
[2024-04-30 10:16:20.532 AM] info: 	AFTER DB Connection Close
[2024-04-30 10:16:36.639 AM] info: 	BEFORE DB Get Connection
[2024-04-30 10:16:36.708 AM] info: 	BEFORE DB Execution
[2024-04-30 10:16:36.739 AM] info: 	AFTER DB Execution Success
[2024-04-30 10:16:36.740 AM] info: 	BEFORE DB Connection Close
[2024-04-30 10:16:36.740 AM] info: 	BEFORE DB Get Connection
[2024-04-30 10:16:36.751 AM] info: 	AFTER DB Connection Close
[2024-04-30 10:16:36.805 AM] info: 	BEFORE DB Execution
[2024-04-30 10:16:36.848 AM] info: 	AFTER DB Execution Success
[2024-04-30 10:16:36.849 AM] info: 	BEFORE DB Connection Close
[2024-04-30 10:16:36.849 AM] info: 	BEFORE DB Get Connection
[2024-04-30 10:16:36.860 AM] info: 	AFTER DB Connection Close
[2024-04-30 10:16:36.917 AM] info: 	BEFORE DB Execution
[2024-04-30 10:16:36.954 AM] info: 	AFTER DB Execution Success
[2024-04-30 10:16:36.955 AM] info: 	BEFORE DB Connection Close
[2024-04-30 10:16:36.968 AM] info: 	AFTER DB Connection Close
[2024-04-30 10:16:37.067 AM] info: 	BEFORE DB Get Connection
[2024-04-30 10:16:37.127 AM] info: 	BEFORE DB Execution
[2024-04-30 10:16:37.150 AM] info: 	AFTER DB Execution Success
[2024-04-30 10:16:37.150 AM] info: 	BEFORE DB Connection Close
[2024-04-30 10:16:37.172 AM] info: 	BEFORE DB Get Connection
[2024-04-30 10:16:37.173 AM] info: 	AFTER DB Connection Close
[2024-04-30 10:16:37.247 AM] info: 	BEFORE DB Execution
[2024-04-30 10:16:37.278 AM] info: 	AFTER DB Execution Success
[2024-04-30 10:16:37.279 AM] info: 	BEFORE DB Connection Close
[2024-04-30 10:16:37.279 AM] info: 	BEFORE DB Get Connection
[2024-04-30 10:16:37.293 AM] info: 	AFTER DB Connection Close
[2024-04-30 10:16:37.342 AM] info: 	BEFORE DB Execution
[2024-04-30 10:16:37.350 AM] info: 	AFTER DB Execution Success
[2024-04-30 10:16:37.350 AM] info: 	BEFORE DB Connection Close
[2024-04-30 10:16:37.357 AM] info: 	AFTER DB Connection Close
[2024-04-30 10:17:30.445 AM] info: 	BEFORE DB Get Connection
[2024-04-30 10:17:30.518 AM] info: 	BEFORE DB Execution
[2024-04-30 10:17:30.550 AM] info: 	AFTER DB Execution Success
[2024-04-30 10:17:30.550 AM] info: 	BEFORE DB Connection Close
[2024-04-30 10:17:30.563 AM] info: 	AFTER DB Connection Close
[2024-04-30 10:17:32.100 AM] info: 	BEFORE DB Get Connection
[2024-04-30 10:17:32.167 AM] info: 	BEFORE DB Execution
[2024-04-30 10:17:32.198 AM] info: 	AFTER DB Execution Success
[2024-04-30 10:17:32.199 AM] info: 	BEFORE DB Connection Close
[2024-04-30 10:17:32.208 AM] info: 	AFTER DB Connection Close
[2024-04-30 10:17:33.274 AM] info: 	BEFORE DB Get Connection
[2024-04-30 10:17:33.354 AM] info: 	BEFORE DB Execution
[2024-04-30 10:17:33.390 AM] info: 	AFTER DB Execution Success
[2024-04-30 10:17:33.390 AM] info: 	BEFORE DB Connection Close
[2024-04-30 10:17:33.406 AM] info: 	AFTER DB Connection Close
