[2024-12-18 01:42:26.010 PM] error: 	Autentication Failed false
[2024-12-18 01:42:26.020 PM] info: 	Autentication Success
[2024-12-18 01:42:26.020 PM] info: 	BEFORE DB Get Connection
[2024-12-18 01:42:26.055 PM] info: 	BEFORE DB Execution
[2024-12-18 01:42:26.089 PM] info: 	AFTER DB Execution Success
[2024-12-18 01:42:26.090 PM] info: 	BEFORE DB Connection Close
[2024-12-18 01:42:26.090 PM] info: 	BEFORE DB Get Connection
[2024-12-18 01:42:26.092 PM] info: 	AFTER DB Connection Close
[2024-12-18 01:42:26.121 PM] info: 	BEFORE DB Execution
[2024-12-18 01:42:26.154 PM] info: 	AFTER DB Execution Success
[2024-12-18 01:42:26.154 PM] info: 	BEFORE DB Connection Close
[2024-12-18 01:42:26.158 PM] info: 	AFTER DB Connection Close
[2024-12-18 01:42:27.329 PM] info: 	BEFORE DB Get Connection
[2024-12-18 01:42:27.366 PM] info: 	BEFORE DB Execution
[2024-12-18 01:42:27.397 PM] info: 	AFTER DB Execution Success
[2024-12-18 01:42:27.397 PM] info: 	BEFORE DB Connection Close
[2024-12-18 01:42:27.397 PM] info: 	BEFORE DB Get Connection
[2024-12-18 01:42:27.400 PM] info: 	AFTER DB Connection Close
[2024-12-18 01:42:27.434 PM] info: 	BEFORE DB Execution
[2024-12-18 01:42:27.451 PM] info: 	AFTER DB Execution Success
[2024-12-18 01:42:27.451 PM] info: 	BEFORE DB Connection Close
[2024-12-18 01:42:27.451 PM] info: 	BEFORE DB Get Connection
[2024-12-18 01:42:27.453 PM] info: 	AFTER DB Connection Close
[2024-12-18 01:42:27.507 PM] info: 	BEFORE DB Execution
[2024-12-18 01:42:27.535 PM] info: 	AFTER DB Execution Success
[2024-12-18 01:42:27.536 PM] info: 	BEFORE DB Connection Close
[2024-12-18 01:42:27.536 PM] info: 	BEFORE DB Get Connection
[2024-12-18 01:42:27.538 PM] info: 	AFTER DB Connection Close
[2024-12-18 01:42:27.559 PM] info: 	BEFORE DB Execution
[2024-12-18 01:42:27.561 PM] info: 	AFTER DB Execution Success
[2024-12-18 01:42:27.562 PM] info: 	BEFORE DB Connection Close
