[2024-12-10 10:33:18.799 AM] error: 	Autentication Failed false
[2024-12-10 10:33:18.830 AM] info: 	Autentication Success
[2024-12-10 10:33:18.830 AM] info: 	BEFORE DB Get Connection
[2024-12-10 10:33:18.862 AM] info: 	BEFORE DB Execution
[2024-12-10 10:33:18.897 AM] info: 	AFTER DB Execution Success
[2024-12-10 10:33:18.897 AM] info: 	BEFORE DB Connection Close
[2024-12-10 10:33:18.898 AM] info: 	BEFORE DB Get Connection
[2024-12-10 10:33:18.901 AM] info: 	AFTER DB Connection Close
[2024-12-10 10:33:18.946 AM] info: 	BEFORE DB Execution
[2024-12-10 10:33:18.978 AM] info: 	AFTER DB Execution Success
[2024-12-10 10:33:18.978 AM] info: 	BEFORE DB Connection Close
[2024-12-10 10:33:18.983 AM] info: 	AFTER DB Connection Close
[2024-12-10 10:33:19.667 AM] info: 	BEFORE DB Get Connection
[2024-12-10 10:33:19.712 AM] info: 	BEFORE DB Execution
[2024-12-10 10:33:19.742 AM] info: 	AFTER DB Execution Success
[2024-12-10 10:33:19.742 AM] info: 	BEFORE DB Connection Close
[2024-12-10 10:33:19.743 AM] info: 	BEFORE DB Get Connection
[2024-12-10 10:33:19.745 AM] info: 	AFTER DB Connection Close
[2024-12-10 10:33:19.779 AM] info: 	BEFORE DB Execution
[2024-12-10 10:33:19.794 AM] info: 	AFTER DB Execution Success
[2024-12-10 10:33:19.794 AM] info: 	BEFORE DB Connection Close
[2024-12-10 10:33:19.794 AM] info: 	BEFORE DB Get Connection
[2024-12-10 10:33:19.797 AM] info: 	AFTER DB Connection Close
[2024-12-10 10:33:19.832 AM] info: 	BEFORE DB Execution
[2024-12-10 10:33:19.833 AM] info: 	AFTER DB Execution Success
[2024-12-10 10:33:19.833 AM] info: 	BEFORE DB Connection Close
[2024-12-10 10:33:19.833 AM] info: 	BEFORE DB Get Connection
[2024-12-10 10:33:19.835 AM] info: 	AFTER DB Connection Close
[2024-12-10 10:33:19.856 AM] info: 	BEFORE DB Execution
[2024-12-10 10:33:19.858 AM] info: 	AFTER DB Execution Success
[2024-12-10 10:33:19.859 AM] info: 	BEFORE DB Connection Close
[2024-12-10 10:33:19.859 AM] info: 	BEFORE DB Get Connection
[2024-12-10 10:33:19.862 AM] info: 	AFTER DB Connection Close
[2024-12-10 10:33:19.888 AM] info: 	BEFORE DB Execution
[2024-12-10 10:33:19.889 AM] info: 	AFTER DB Execution Success
[2024-12-10 10:33:19.889 AM] info: 	BEFORE DB Connection Close
[2024-12-10 10:33:19.889 AM] info: 	BEFORE DB Get Connection
[2024-12-10 10:33:19.891 AM] info: 	AFTER DB Connection Close
[2024-12-10 10:33:19.921 AM] info: 	BEFORE DB Execution
