[2024-07-29 04:54:19.858 PM] info: 	DB Initialized
[2024-07-29 04:55:27.799 PM] error: 	Autentication Failed false
[2024-07-29 04:55:27.831 PM] info: 	Autentication Success
[2024-07-29 04:55:27.832 PM] info: 	BEFORE DB Get Connection
[2024-07-29 04:55:28.031 PM] info: 	BEFORE DB Execution
[2024-07-29 04:55:28.075 PM] info: 	AFTER DB Execution Success
[2024-07-29 04:55:28.075 PM] info: 	BEFORE DB Connection Close
[2024-07-29 04:55:28.076 PM] info: 	BEFORE DB Get Connection
[2024-07-29 04:55:28.081 PM] info: 	AFTER DB Connection Close
[2024-07-29 04:55:28.109 PM] info: 	BEFORE DB Execution
[2024-07-29 04:55:28.115 PM] info: 	AFTER DB Execution Success
[2024-07-29 04:55:28.116 PM] info: 	BEFORE DB Connection Close
[2024-07-29 04:55:28.116 PM] info: 	BEFORE DB Get Connection
[2024-07-29 04:55:28.119 PM] info: 	AFTER DB Connection Close
[2024-07-29 04:55:28.157 PM] info: 	BEFORE DB Execution
[2024-07-29 04:55:28.216 PM] info: 	AFTER DB Execution Success
[2024-07-29 04:55:28.216 PM] info: 	BEFORE DB Connection Close
[2024-07-29 04:55:28.234 PM] info: 	AFTER DB Connection Close
[2024-07-29 04:55:32.509 PM] info: 	BEFORE DB Get Connection
[2024-07-29 04:55:32.536 PM] info: 	BEFORE DB Execution
[2024-07-29 04:55:32.579 PM] info: 	AFTER DB Execution Success
[2024-07-29 04:55:32.580 PM] info: 	BEFORE DB Connection Close
[2024-07-29 04:55:32.580 PM] info: 	BEFORE DB Get Connection
[2024-07-29 04:55:32.582 PM] info: 	AFTER DB Connection Close
[2024-07-29 04:55:32.617 PM] info: 	BEFORE DB Execution
[2024-07-29 04:55:32.661 PM] info: 	AFTER DB Execution Success
[2024-07-29 04:55:32.662 PM] info: 	BEFORE DB Connection Close
[2024-07-29 04:55:32.662 PM] info: 	BEFORE DB Get Connection
[2024-07-29 04:55:32.664 PM] info: 	AFTER DB Connection Close
[2024-07-29 04:55:32.687 PM] info: 	BEFORE DB Execution
[2024-07-29 04:55:32.690 PM] info: 	AFTER DB Execution Success
[2024-07-29 04:55:32.690 PM] info: 	BEFORE DB Connection Close
[2024-07-29 04:55:32.692 PM] info: 	AFTER DB Connection Close
[2024-07-29 04:56:24.391 PM] info: 	BEFORE DB Get Connection
