[2024-07-30 08:25:10.653 AM] info: 	DB Initialized
[2024-07-30 08:25:43.493 AM] error: 	Autentication Failed false
[2024-07-30 08:25:43.539 AM] info: 	Autentication Success
[2024-07-30 08:25:43.540 AM] info: 	BEFORE DB Get Connection
[2024-07-30 08:25:43.724 AM] info: 	BEFORE DB Execution
[2024-07-30 08:25:43.795 AM] info: 	AFTER DB Execution Success
[2024-07-30 08:25:43.796 AM] info: 	BEFORE DB Connection Close
[2024-07-30 08:25:43.797 AM] info: 	BEFORE DB Get Connection
[2024-07-30 08:25:43.801 AM] info: 	AFTER DB Connection Close
[2024-07-30 08:25:43.832 AM] info: 	BEFORE DB Execution
[2024-07-30 08:25:43.838 AM] info: 	AFTER DB Execution Success
[2024-07-30 08:25:43.839 AM] info: 	BEFORE DB Connection Close
[2024-07-30 08:25:43.839 AM] info: 	BEFORE DB Get Connection
[2024-07-30 08:25:43.842 AM] info: 	AFTER DB Connection Close
[2024-07-30 08:25:43.885 AM] info: 	BEFORE DB Execution
[2024-07-30 08:25:43.995 AM] info: 	AFTER DB Execution Success
[2024-07-30 08:25:43.996 AM] info: 	BEFORE DB Connection Close
[2024-07-30 08:25:44.016 AM] info: 	AFTER DB Connection Close
[2024-07-30 08:25:48.432 AM] info: 	BEFORE DB Get Connection
[2024-07-30 08:25:48.458 AM] info: 	BEFORE DB Execution
[2024-07-30 08:25:48.508 AM] info: 	AFTER DB Execution Success
[2024-07-30 08:25:48.508 AM] info: 	BEFORE DB Connection Close
[2024-07-30 08:25:48.509 AM] info: 	BEFORE DB Get Connection
[2024-07-30 08:25:48.511 AM] info: 	AFTER DB Connection Close
[2024-07-30 08:25:48.533 AM] info: 	BEFORE DB Execution
[2024-07-30 08:25:48.575 AM] info: 	AFTER DB Execution Success
[2024-07-30 08:25:48.576 AM] info: 	BEFORE DB Connection Close
[2024-07-30 08:25:48.576 AM] info: 	BEFORE DB Get Connection
[2024-07-30 08:25:48.579 AM] info: 	AFTER DB Connection Close
[2024-07-30 08:25:48.615 AM] info: 	BEFORE DB Execution
[2024-07-30 08:25:48.618 AM] info: 	AFTER DB Execution Success
[2024-07-30 08:25:48.618 AM] info: 	BEFORE DB Connection Close
[2024-07-30 08:25:48.618 AM] info: 	BEFORE DB Get Connection
[2024-07-30 08:25:48.620 AM] info: 	AFTER DB Connection Close
[2024-07-30 08:25:48.644 AM] info: 	BEFORE DB Execution
[2024-07-30 08:25:48.663 AM] info: 	AFTER DB Execution Success
[2024-07-30 08:25:48.664 AM] info: 	BEFORE DB Connection Close
[2024-07-30 08:25:48.666 AM] info: 	AFTER DB Connection Close
[2024-07-30 08:26:37.614 AM] error: 	Autentication Failed false
[2024-07-30 08:26:37.638 AM] info: 	Autentication Success
[2024-07-30 08:26:37.639 AM] info: 	BEFORE DB Get Connection
[2024-07-30 08:26:37.692 AM] info: 	BEFORE DB Execution
[2024-07-30 08:26:37.726 AM] info: 	AFTER DB Execution Success
[2024-07-30 08:26:37.726 AM] info: 	BEFORE DB Connection Close
[2024-07-30 08:26:37.727 AM] info: 	BEFORE DB Get Connection
[2024-07-30 08:26:37.729 AM] info: 	AFTER DB Connection Close
[2024-07-30 08:26:37.781 AM] info: 	BEFORE DB Execution
[2024-07-30 08:26:37.784 AM] info: 	AFTER DB Execution Success
[2024-07-30 08:26:37.785 AM] info: 	BEFORE DB Connection Close
[2024-07-30 08:26:37.785 AM] info: 	BEFORE DB Get Connection
[2024-07-30 08:26:37.797 AM] info: 	AFTER DB Connection Close
[2024-07-30 08:26:37.824 AM] info: 	BEFORE DB Execution
[2024-07-30 08:26:37.875 AM] info: 	AFTER DB Execution Success
[2024-07-30 08:26:37.875 AM] info: 	BEFORE DB Connection Close
[2024-07-30 08:26:37.879 AM] info: 	AFTER DB Connection Close
[2024-07-30 08:26:39.215 AM] info: 	BEFORE DB Get Connection
[2024-07-30 08:26:39.303 AM] info: 	BEFORE DB Execution
[2024-07-30 08:26:39.334 AM] info: 	AFTER DB Execution Success
[2024-07-30 08:26:39.335 AM] info: 	BEFORE DB Connection Close
[2024-07-30 08:26:39.335 AM] info: 	BEFORE DB Get Connection
[2024-07-30 08:26:39.337 AM] info: 	AFTER DB Connection Close
[2024-07-30 08:26:39.365 AM] info: 	BEFORE DB Execution
[2024-07-30 08:26:39.400 AM] info: 	AFTER DB Execution Success
[2024-07-30 08:26:39.400 AM] info: 	BEFORE DB Connection Close
[2024-07-30 08:26:39.401 AM] info: 	BEFORE DB Get Connection
[2024-07-30 08:26:39.403 AM] info: 	AFTER DB Connection Close
[2024-07-30 08:26:39.426 AM] info: 	BEFORE DB Execution
[2024-07-30 08:26:39.427 AM] info: 	AFTER DB Execution Success
[2024-07-30 08:26:39.427 AM] info: 	BEFORE DB Connection Close
[2024-07-30 08:26:39.427 AM] info: 	BEFORE DB Get Connection
[2024-07-30 08:26:39.430 AM] info: 	AFTER DB Connection Close
[2024-07-30 08:26:39.453 AM] info: 	BEFORE DB Execution
[2024-07-30 08:26:39.457 AM] info: 	AFTER DB Execution Success
[2024-07-30 08:26:39.457 AM] info: 	BEFORE DB Connection Close
[2024-07-30 08:26:39.464 AM] info: 	AFTER DB Connection Close
[2024-07-30 08:27:48.391 AM] error: 	Autentication Failed false
[2024-07-30 08:27:48.414 AM] info: 	Autentication Success
[2024-07-30 08:27:48.414 AM] info: 	BEFORE DB Get Connection
