[2024-12-09 02:55:51.080 PM] info: 	DB Initialized
[2024-12-09 02:56:28.965 PM] error: 	Autentication Failed false
[2024-12-09 02:56:28.991 PM] info: 	Autentication Success
[2024-12-09 02:56:28.991 PM] info: 	BEFORE DB Get Connection
[2024-12-09 02:56:29.170 PM] info: 	BEFORE DB Execution
[2024-12-09 02:56:29.215 PM] info: 	AFTER DB Execution Success
[2024-12-09 02:56:29.216 PM] info: 	BEFORE DB Connection Close
[2024-12-09 02:56:29.217 PM] info: 	BEFORE DB Get Connection
[2024-12-09 02:56:29.221 PM] info: 	AFTER DB Connection Close
[2024-12-09 02:56:29.254 PM] info: 	BEFORE DB Execution
[2024-12-09 02:56:29.259 PM] info: 	AFTER DB Execution Success
[2024-12-09 02:56:29.260 PM] info: 	BEFORE DB Connection Close
[2024-12-09 02:56:29.260 PM] info: 	BEFORE DB Get Connection
[2024-12-09 02:56:29.263 PM] info: 	AFTER DB Connection Close
[2024-12-09 02:56:29.292 PM] info: 	BEFORE DB Execution
[2024-12-09 02:56:29.298 PM] info: 	AFTER DB Execution Success
[2024-12-09 02:56:29.298 PM] info: 	BEFORE DB Connection Close
[2024-12-09 02:56:29.298 PM] info: 	BEFORE DB Get Connection
[2024-12-09 02:56:29.301 PM] info: 	AFTER DB Connection Close
[2024-12-09 02:56:29.337 PM] info: 	BEFORE DB Execution
[2024-12-09 02:56:29.388 PM] info: 	AFTER DB Execution Success
[2024-12-09 02:56:29.388 PM] info: 	BEFORE DB Connection Close
[2024-12-09 02:56:29.409 PM] info: 	AFTER DB Connection Close
[2024-12-09 02:56:29.553 PM] info: 	BEFORE DB Get Connection
[2024-12-09 02:56:29.600 PM] info: 	BEFORE DB Execution
[2024-12-09 02:56:29.654 PM] info: 	AFTER DB Execution Success
[2024-12-09 02:56:29.655 PM] info: 	BEFORE DB Connection Close
[2024-12-09 02:56:29.655 PM] info: 	BEFORE DB Get Connection
[2024-12-09 02:56:29.657 PM] info: 	AFTER DB Connection Close
[2024-12-09 02:56:29.686 PM] info: 	BEFORE DB Execution
[2024-12-09 02:56:29.728 PM] info: 	AFTER DB Execution Success
[2024-12-09 02:56:29.728 PM] info: 	BEFORE DB Connection Close
[2024-12-09 02:56:29.728 PM] info: 	BEFORE DB Get Connection
[2024-12-09 02:56:29.730 PM] info: 	AFTER DB Connection Close
[2024-12-09 02:56:29.767 PM] info: 	BEFORE DB Execution
[2024-12-09 02:56:29.771 PM] info: 	AFTER DB Execution Success
[2024-12-09 02:56:29.771 PM] info: 	BEFORE DB Connection Close
[2024-12-09 02:56:29.771 PM] info: 	BEFORE DB Get Connection
[2024-12-09 02:56:29.773 PM] info: 	AFTER DB Connection Close
[2024-12-09 02:56:29.808 PM] info: 	BEFORE DB Execution
[2024-12-09 02:56:29.811 PM] info: 	AFTER DB Execution Success
[2024-12-09 02:56:29.811 PM] info: 	BEFORE DB Connection Close
[2024-12-09 02:56:29.812 PM] info: 	BEFORE DB Get Connection
[2024-12-09 02:56:29.814 PM] info: 	AFTER DB Connection Close
[2024-12-09 02:56:29.852 PM] info: 	BEFORE DB Execution
[2024-12-09 02:56:29.855 PM] info: 	AFTER DB Execution Success
[2024-12-09 02:56:29.855 PM] info: 	BEFORE DB Connection Close
[2024-12-09 02:56:29.855 PM] info: 	BEFORE DB Get Connection
[2024-12-09 02:56:29.857 PM] info: 	AFTER DB Connection Close
[2024-12-09 02:56:29.914 PM] info: 	BEFORE DB Execution
[2024-12-09 02:56:29.916 PM] info: 	AFTER DB Execution Success
[2024-12-09 02:56:29.917 PM] info: 	BEFORE DB Connection Close
[2024-12-09 02:56:29.919 PM] info: 	AFTER DB Connection Close
