[2024-12-12 12:21:59.604 PM] error: 	Autentication Failed false
[2024-12-12 12:21:59.626 PM] info: 	Autentication Success
[2024-12-12 12:21:59.627 PM] info: 	BEFORE DB Get Connection
[2024-12-12 12:21:59.660 PM] info: 	BEFORE DB Execution
[2024-12-12 12:21:59.695 PM] info: 	AFTER DB Execution Success
[2024-12-12 12:21:59.695 PM] info: 	BEFORE DB Connection Close
[2024-12-12 12:21:59.696 PM] info: 	BEFORE DB Get Connection
[2024-12-12 12:21:59.700 PM] info: 	AFTER DB Connection Close
[2024-12-12 12:21:59.728 PM] info: 	BEFORE DB Execution
[2024-12-12 12:21:59.765 PM] info: 	AFTER DB Execution Success
[2024-12-12 12:21:59.765 PM] info: 	BEFORE DB Connection Close
[2024-12-12 12:21:59.779 PM] info: 	AFTER DB Connection Close
[2024-12-12 12:22:01.378 PM] info: 	BEFORE DB Get Connection
[2024-12-12 12:22:01.439 PM] info: 	BEFORE DB Execution
[2024-12-12 12:22:01.473 PM] info: 	AFTER DB Execution Success
[2024-12-12 12:22:01.473 PM] info: 	BEFORE DB Connection Close
[2024-12-12 12:22:01.473 PM] info: 	BEFORE DB Get Connection
[2024-12-12 12:22:01.476 PM] info: 	AFTER DB Connection Close
[2024-12-12 12:22:01.498 PM] info: 	BEFORE DB Execution
[2024-12-12 12:22:01.521 PM] info: 	AFTER DB Execution Success
[2024-12-12 12:22:01.521 PM] info: 	BEFORE DB Connection Close
[2024-12-12 12:22:01.522 PM] info: 	BEFORE DB Get Connection
[2024-12-12 12:22:01.524 PM] info: 	AFTER DB Connection Close
[2024-12-12 12:22:01.547 PM] info: 	BEFORE DB Execution
[2024-12-12 12:22:01.548 PM] info: 	AFTER DB Execution Success
[2024-12-12 12:22:01.548 PM] info: 	BEFORE DB Connection Close
[2024-12-12 12:22:01.548 PM] info: 	BEFORE DB Get Connection
[2024-12-12 12:22:01.550 PM] info: 	AFTER DB Connection Close
[2024-12-12 12:22:01.573 PM] info: 	BEFORE DB Execution
[2024-12-12 12:22:01.575 PM] info: 	AFTER DB Execution Success
[2024-12-12 12:22:01.575 PM] info: 	BEFORE DB Connection Close
[2024-12-12 12:22:01.577 PM] info: 	BEFORE DB Get Connection
[2024-12-12 12:22:01.583 PM] info: 	AFTER DB Connection Close
[2024-12-12 12:22:01.602 PM] info: 	BEFORE DB Execution
[2024-12-12 12:22:01.603 PM] info: 	AFTER DB Execution Success
[2024-12-12 12:22:01.603 PM] info: 	BEFORE DB Connection Close
[2024-12-12 12:22:01.603 PM] info: 	BEFORE DB Get Connection
[2024-12-12 12:22:01.608 PM] info: 	AFTER DB Connection Close
[2024-12-12 12:22:01.625 PM] info: 	BEFORE DB Execution
[2024-12-12 12:22:01.627 PM] info: 	AFTER DB Execution Success
[2024-12-12 12:22:01.627 PM] info: 	BEFORE DB Connection Close
[2024-12-12 12:22:01.629 PM] info: 	AFTER DB Connection Close
