[2024-12-10 09:15:02.518 AM] info: 	DB Initialized
[2024-12-10 09:16:09.791 AM] error: 	Autentication Failed false
[2024-12-10 09:16:09.816 AM] info: 	Autentication Success
[2024-12-10 09:16:09.817 AM] info: 	BEFORE DB Get Connection
[2024-12-10 09:16:10.011 AM] info: 	BEFORE DB Execution
[2024-12-10 09:16:10.086 AM] info: 	AFTER DB Execution Success
[2024-12-10 09:16:10.086 AM] info: 	BEFORE DB Connection Close
[2024-12-10 09:16:10.087 AM] info: 	BEFORE DB Get Connection
[2024-12-10 09:16:10.092 AM] info: 	AFTER DB Connection Close
[2024-12-10 09:16:10.134 AM] info: 	BEFORE DB Execution
[2024-12-10 09:16:10.192 AM] info: 	AFTER DB Execution Success
[2024-12-10 09:16:10.192 AM] info: 	BEFORE DB Connection Close
[2024-12-10 09:16:10.202 AM] info: 	AFTER DB Connection Close
[2024-12-10 09:16:11.559 AM] info: 	BEFORE DB Get Connection
[2024-12-10 09:16:11.637 AM] info: 	BEFORE DB Execution
[2024-12-10 09:16:11.728 AM] info: 	AFTER DB Execution Success
[2024-12-10 09:16:11.729 AM] info: 	BEFORE DB Connection Close
[2024-12-10 09:16:11.729 AM] info: 	BEFORE DB Get Connection
[2024-12-10 09:16:11.731 AM] info: 	AFTER DB Connection Close
[2024-12-10 09:16:11.753 AM] info: 	BEFORE DB Execution
[2024-12-10 09:16:11.791 AM] info: 	AFTER DB Execution Success
[2024-12-10 09:16:11.791 AM] info: 	BEFORE DB Connection Close
[2024-12-10 09:16:11.791 AM] info: 	BEFORE DB Get Connection
[2024-12-10 09:16:11.794 AM] info: 	AFTER DB Connection Close
[2024-12-10 09:16:11.830 AM] info: 	BEFORE DB Execution
[2024-12-10 09:16:11.836 AM] info: 	AFTER DB Execution Success
[2024-12-10 09:16:11.836 AM] info: 	BEFORE DB Connection Close
[2024-12-10 09:16:11.836 AM] info: 	BEFORE DB Get Connection
[2024-12-10 09:16:11.843 AM] info: 	AFTER DB Connection Close
[2024-12-10 09:16:11.865 AM] info: 	BEFORE DB Execution
[2024-12-10 09:16:11.867 AM] info: 	AFTER DB Execution Success
[2024-12-10 09:16:11.868 AM] info: 	BEFORE DB Connection Close
[2024-12-10 09:16:11.868 AM] info: 	BEFORE DB Get Connection
[2024-12-10 09:16:11.871 AM] info: 	AFTER DB Connection Close
[2024-12-10 09:16:11.901 AM] info: 	BEFORE DB Execution
[2024-12-10 09:16:11.904 AM] info: 	AFTER DB Execution Success
[2024-12-10 09:16:11.904 AM] info: 	BEFORE DB Connection Close
[2024-12-10 09:16:11.905 AM] info: 	BEFORE DB Get Connection
[2024-12-10 09:16:11.910 AM] info: 	AFTER DB Connection Close
[2024-12-10 09:16:11.947 AM] info: 	BEFORE DB Execution
[2024-12-10 09:16:11.970 AM] info: 	AFTER DB Execution Success
[2024-12-10 09:16:11.970 AM] info: 	BEFORE DB Connection Close
[2024-12-10 09:16:11.975 AM] info: 	AFTER DB Connection Close
[2024-12-10 09:16:18.235 AM] info: 	BEFORE DB Get Connection
[2024-12-10 09:16:18.270 AM] info: 	BEFORE DB Get Connection
[2024-12-10 09:16:18.271 AM] info: 	BEFORE DB Execution
[2024-12-10 09:16:18.275 AM] info: 	AFTER DB Execution Success
[2024-12-10 09:16:18.275 AM] info: 	BEFORE DB Connection Close
[2024-12-10 09:16:18.276 AM] info: 	BEFORE DB Get Connection
[2024-12-10 09:16:18.278 AM] info: 	AFTER DB Connection Close
[2024-12-10 09:16:18.299 AM] info: 	BEFORE DB Execution
[2024-12-10 09:16:18.301 AM] info: 	AFTER DB Execution Success
[2024-12-10 09:16:18.301 AM] info: 	BEFORE DB Connection Close
[2024-12-10 09:16:18.302 AM] info: 	BEFORE DB Get Connection
[2024-12-10 09:16:18.303 AM] info: 	BEFORE DB Execution
[2024-12-10 09:16:18.311 AM] info: 	AFTER DB Connection Close
[2024-12-10 09:16:18.311 AM] info: 	AFTER DB Execution Success
[2024-12-10 09:16:18.311 AM] info: 	BEFORE DB Connection Close
[2024-12-10 09:16:18.311 AM] info: 	BEFORE DB Get Connection
[2024-12-10 09:16:18.313 AM] info: 	AFTER DB Connection Close
[2024-12-10 09:16:18.334 AM] info: 	BEFORE DB Execution
[2024-12-10 09:16:18.337 AM] info: 	AFTER DB Execution Success
[2024-12-10 09:16:18.338 AM] info: 	BEFORE DB Connection Close
[2024-12-10 09:16:18.338 AM] info: 	BEFORE DB Get Connection
[2024-12-10 09:16:18.340 AM] info: 	AFTER DB Connection Close
[2024-12-10 09:16:18.342 AM] info: 	BEFORE DB Execution
[2024-12-10 09:16:18.381 AM] info: 	BEFORE DB Execution
[2024-12-10 09:16:18.402 AM] info: 	AFTER DB Execution Success
[2024-12-10 09:16:18.402 AM] info: 	BEFORE DB Connection Close
[2024-12-10 09:16:18.402 AM] info: 	BEFORE DB Get Connection
[2024-12-10 09:16:18.405 AM] info: 	AFTER DB Connection Close
[2024-12-10 09:16:18.427 AM] info: 	AFTER DB Execution Success
[2024-12-10 09:16:18.427 AM] info: 	BEFORE DB Connection Close
[2024-12-10 09:16:18.428 AM] info: 	BEFORE DB Get Connection
[2024-12-10 09:16:18.437 AM] info: 	AFTER DB Connection Close
[2024-12-10 09:16:18.440 AM] info: 	BEFORE DB Execution
[2024-12-10 09:16:18.447 AM] info: 	AFTER DB Execution Success
[2024-12-10 09:16:18.448 AM] info: 	BEFORE DB Connection Close
[2024-12-10 09:16:18.448 AM] info: 	BEFORE DB Get Connection
[2024-12-10 09:16:18.450 AM] info: 	AFTER DB Connection Close
[2024-12-10 09:16:18.473 AM] info: 	BEFORE DB Execution
[2024-12-10 09:16:18.473 AM] info: 	BEFORE DB Execution
[2024-12-10 09:16:18.508 AM] info: 	AFTER DB Execution Success
