[2024-12-13 01:01:06.886 PM] error: 	Autentication Failed false
[2024-12-13 01:01:06.897 PM] info: 	Autentication Success
[2024-12-13 01:01:06.898 PM] info: 	BEFORE DB Get Connection
[2024-12-13 01:01:06.931 PM] info: 	BEFORE DB Execution
[2024-12-13 01:01:06.965 PM] info: 	AFTER DB Execution Success
[2024-12-13 01:01:06.965 PM] info: 	BEFORE DB Connection Close
[2024-12-13 01:01:06.965 PM] info: 	BEFORE DB Get Connection
[2024-12-13 01:01:06.968 PM] info: 	AFTER DB Connection Close
[2024-12-13 01:01:06.994 PM] info: 	BEFORE DB Execution
[2024-12-13 01:01:07.029 PM] info: 	AFTER DB Execution Success
[2024-12-13 01:01:07.029 PM] info: 	BEFORE DB Connection Close
[2024-12-13 01:01:07.038 PM] info: 	AFTER DB Connection Close
[2024-12-13 01:01:08.470 PM] info: 	BEFORE DB Get Connection
[2024-12-13 01:01:08.504 PM] info: 	BEFORE DB Execution
[2024-12-13 01:01:08.530 PM] info: 	AFTER DB Execution Success
[2024-12-13 01:01:08.530 PM] info: 	BEFORE DB Connection Close
[2024-12-13 01:01:08.530 PM] info: 	BEFORE DB Get Connection
[2024-12-13 01:01:08.534 PM] info: 	AFTER DB Connection Close
[2024-12-13 01:01:08.558 PM] info: 	BEFORE DB Execution
[2024-12-13 01:01:08.578 PM] info: 	AFTER DB Execution Success
[2024-12-13 01:01:08.578 PM] info: 	BEFORE DB Connection Close
[2024-12-13 01:01:08.579 PM] info: 	BEFORE DB Get Connection
[2024-12-13 01:01:08.582 PM] info: 	AFTER DB Connection Close
[2024-12-13 01:01:08.643 PM] info: 	BEFORE DB Execution
[2024-12-13 01:01:08.645 PM] info: 	AFTER DB Execution Success
[2024-12-13 01:01:08.645 PM] info: 	BEFORE DB Connection Close
[2024-12-13 01:01:08.645 PM] info: 	BEFORE DB Get Connection
[2024-12-13 01:01:08.647 PM] info: 	AFTER DB Connection Close
[2024-12-13 01:01:08.667 PM] info: 	BEFORE DB Execution
[2024-12-13 01:01:08.669 PM] info: 	AFTER DB Execution Success
[2024-12-13 01:01:08.669 PM] info: 	BEFORE DB Connection Close
[2024-12-13 01:01:08.669 PM] info: 	BEFORE DB Get Connection
[2024-12-13 01:01:08.671 PM] info: 	AFTER DB Connection Close
[2024-12-13 01:01:08.711 PM] info: 	BEFORE DB Execution
[2024-12-13 01:01:08.713 PM] info: 	AFTER DB Execution Success
[2024-12-13 01:01:08.713 PM] info: 	BEFORE DB Connection Close
[2024-12-13 01:01:08.713 PM] info: 	BEFORE DB Get Connection
[2024-12-13 01:01:08.715 PM] info: 	AFTER DB Connection Close
[2024-12-13 01:01:08.744 PM] info: 	BEFORE DB Execution
[2024-12-13 01:01:08.747 PM] info: 	AFTER DB Execution Success
[2024-12-13 01:01:08.747 PM] info: 	BEFORE DB Connection Close
[2024-12-13 01:01:08.750 PM] info: 	AFTER DB Connection Close
[2024-12-13 01:01:10.704 PM] info: 	BEFORE DB Get Connection
