[2024-12-12 01:05:16.106 PM] error: 	Autentication Failed false
[2024-12-12 01:05:16.122 PM] info: 	Autentication Success
[2024-12-12 01:05:16.122 PM] info: 	BEFORE DB Get Connection
[2024-12-12 01:05:16.146 PM] info: 	BEFORE DB Execution
[2024-12-12 01:05:16.178 PM] info: 	AFTER DB Execution Success
[2024-12-12 01:05:16.178 PM] info: 	BEFORE DB Connection Close
[2024-12-12 01:05:16.178 PM] info: 	BEFORE DB Get Connection
[2024-12-12 01:05:16.181 PM] info: 	AFTER DB Connection Close
[2024-12-12 01:05:16.201 PM] info: 	BEFORE DB Execution
[2024-12-12 01:05:16.250 PM] info: 	AFTER DB Execution Success
[2024-12-12 01:05:16.251 PM] info: 	BEFORE DB Connection Close
[2024-12-12 01:05:16.256 PM] info: 	AFTER DB Connection Close
[2024-12-12 01:05:17.533 PM] info: 	BEFORE DB Get Connection
[2024-12-12 01:05:17.593 PM] info: 	BEFORE DB Execution
[2024-12-12 01:05:17.621 PM] info: 	AFTER DB Execution Success
[2024-12-12 01:05:17.621 PM] info: 	BEFORE DB Connection Close
[2024-12-12 01:05:17.622 PM] info: 	BEFORE DB Get Connection
[2024-12-12 01:05:17.633 PM] info: 	AFTER DB Connection Close
[2024-12-12 01:05:17.659 PM] info: 	BEFORE DB Execution
[2024-12-12 01:05:17.674 PM] info: 	AFTER DB Execution Success
[2024-12-12 01:05:17.674 PM] info: 	BEFORE DB Connection Close
[2024-12-12 01:05:17.674 PM] info: 	BEFORE DB Get Connection
[2024-12-12 01:05:17.676 PM] info: 	AFTER DB Connection Close
[2024-12-12 01:05:17.719 PM] info: 	BEFORE DB Execution
[2024-12-12 01:05:17.720 PM] info: 	AFTER DB Execution Success
[2024-12-12 01:05:17.721 PM] info: 	BEFORE DB Connection Close
[2024-12-12 01:05:17.721 PM] info: 	BEFORE DB Get Connection
[2024-12-12 01:05:17.723 PM] info: 	AFTER DB Connection Close
[2024-12-12 01:05:17.756 PM] info: 	BEFORE DB Execution
[2024-12-12 01:05:17.757 PM] info: 	AFTER DB Execution Success
[2024-12-12 01:05:17.757 PM] info: 	BEFORE DB Connection Close
[2024-12-12 01:05:17.757 PM] info: 	BEFORE DB Get Connection
[2024-12-12 01:05:17.760 PM] info: 	AFTER DB Connection Close
[2024-12-12 01:05:17.780 PM] info: 	BEFORE DB Execution
[2024-12-12 01:05:17.781 PM] info: 	AFTER DB Execution Success
[2024-12-12 01:05:17.781 PM] info: 	BEFORE DB Connection Close
[2024-12-12 01:05:17.781 PM] info: 	BEFORE DB Get Connection
[2024-12-12 01:05:17.783 PM] info: 	AFTER DB Connection Close
[2024-12-12 01:05:17.804 PM] info: 	BEFORE DB Execution
[2024-12-12 01:05:17.806 PM] info: 	AFTER DB Execution Success
[2024-12-12 01:05:17.806 PM] info: 	BEFORE DB Connection Close
[2024-12-12 01:05:17.809 PM] info: 	AFTER DB Connection Close
[2024-12-12 01:05:18.984 PM] info: 	BEFORE DB Get Connection
[2024-12-12 01:05:19.015 PM] info: 	BEFORE DB Execution
[2024-12-12 01:05:19.017 PM] info: 	AFTER DB Execution Success
[2024-12-12 01:05:19.017 PM] info: 	BEFORE DB Connection Close
[2024-12-12 01:05:19.017 PM] info: 	BEFORE DB Get Connection
[2024-12-12 01:05:19.022 PM] info: 	AFTER DB Connection Close
[2024-12-12 01:05:19.032 PM] info: 	BEFORE DB Get Connection
[2024-12-12 01:05:19.048 PM] info: 	BEFORE DB Execution
[2024-12-12 01:05:19.051 PM] info: 	AFTER DB Execution Success
[2024-12-12 01:05:19.051 PM] info: 	BEFORE DB Connection Close
[2024-12-12 01:05:19.051 PM] info: 	BEFORE DB Get Connection
