[2024-12-05 10:50:10.208 AM] info: 	DB Initialized
[2024-12-05 10:50:53.839 AM] error: 	Autentication Failed false
[2024-12-05 10:50:53.900 AM] info: 	Autentication Success
[2024-12-05 10:50:53.901 AM] info: 	BEFORE DB Get Connection
[2024-12-05 10:50:54.031 AM] info: 	BEFORE DB Execution
[2024-12-05 10:50:54.104 AM] info: 	AFTER DB Execution Success
[2024-12-05 10:50:54.104 AM] info: 	BEFORE DB Connection Close
[2024-12-05 10:50:54.105 AM] info: 	BEFORE DB Get Connection
[2024-12-05 10:50:54.108 AM] info: 	AFTER DB Connection Close
[2024-12-05 10:50:54.143 AM] info: 	BEFORE DB Execution
[2024-12-05 10:50:54.197 AM] info: 	AFTER DB Execution Success
[2024-12-05 10:50:54.198 AM] info: 	BEFORE DB Connection Close
[2024-12-05 10:50:54.205 AM] info: 	AFTER DB Connection Close
[2024-12-05 10:50:55.244 AM] info: 	BEFORE DB Get Connection
[2024-12-05 10:50:55.284 AM] info: 	BEFORE DB Execution
[2024-12-05 10:50:55.448 AM] info: 	AFTER DB Execution Success
[2024-12-05 10:50:55.448 AM] info: 	BEFORE DB Connection Close
[2024-12-05 10:50:55.448 AM] info: 	BEFORE DB Get Connection
[2024-12-05 10:50:55.451 AM] info: 	AFTER DB Connection Close
[2024-12-05 10:50:55.476 AM] info: 	BEFORE DB Execution
[2024-12-05 10:50:55.514 AM] info: 	AFTER DB Execution Success
[2024-12-05 10:50:55.514 AM] info: 	BEFORE DB Connection Close
[2024-12-05 10:50:55.515 AM] info: 	BEFORE DB Get Connection
[2024-12-05 10:50:55.517 AM] info: 	AFTER DB Connection Close
[2024-12-05 10:50:55.542 AM] info: 	BEFORE DB Execution
[2024-12-05 10:50:55.548 AM] info: 	AFTER DB Execution Success
[2024-12-05 10:50:55.548 AM] info: 	BEFORE DB Connection Close
[2024-12-05 10:50:55.548 AM] info: 	BEFORE DB Get Connection
[2024-12-05 10:50:55.552 AM] info: 	AFTER DB Connection Close
[2024-12-05 10:50:55.577 AM] info: 	BEFORE DB Execution
[2024-12-05 10:50:55.579 AM] info: 	AFTER DB Execution Success
[2024-12-05 10:50:55.579 AM] info: 	BEFORE DB Connection Close
[2024-12-05 10:50:55.579 AM] info: 	BEFORE DB Get Connection
[2024-12-05 10:50:55.581 AM] info: 	AFTER DB Connection Close
[2024-12-05 10:50:55.621 AM] info: 	BEFORE DB Execution
[2024-12-05 10:50:55.625 AM] info: 	AFTER DB Execution Success
[2024-12-05 10:50:55.625 AM] info: 	BEFORE DB Connection Close
[2024-12-05 10:50:55.625 AM] info: 	BEFORE DB Get Connection
[2024-12-05 10:50:55.627 AM] info: 	AFTER DB Connection Close
[2024-12-05 10:50:55.649 AM] info: 	BEFORE DB Execution
[2024-12-05 10:50:55.663 AM] info: 	AFTER DB Execution Success
[2024-12-05 10:50:55.663 AM] info: 	BEFORE DB Connection Close
[2024-12-05 10:50:55.675 AM] info: 	AFTER DB Connection Close
[2024-12-05 10:50:57.388 AM] info: 	BEFORE DB Get Connection
[2024-12-05 10:50:57.417 AM] info: 	BEFORE DB Execution
[2024-12-05 10:50:57.422 AM] info: 	AFTER DB Execution Success
[2024-12-05 10:50:57.422 AM] info: 	BEFORE DB Connection Close
[2024-12-05 10:50:57.422 AM] info: 	BEFORE DB Get Connection
[2024-12-05 10:50:57.426 AM] info: 	BEFORE DB Get Connection
[2024-12-05 10:50:57.427 AM] info: 	AFTER DB Connection Close
[2024-12-05 10:50:57.460 AM] info: 	BEFORE DB Execution
[2024-12-05 10:50:57.461 AM] info: 	BEFORE DB Execution
[2024-12-05 10:50:57.463 AM] info: 	AFTER DB Execution Success
[2024-12-05 10:50:57.463 AM] info: 	BEFORE DB Connection Close
[2024-12-05 10:50:57.463 AM] info: 	BEFORE DB Get Connection
[2024-12-05 10:50:57.465 AM] info: 	AFTER DB Connection Close
[2024-12-05 10:50:57.466 AM] info: 	AFTER DB Execution Success
[2024-12-05 10:50:57.466 AM] info: 	BEFORE DB Connection Close
[2024-12-05 10:50:57.466 AM] info: 	BEFORE DB Get Connection
[2024-12-05 10:50:57.471 AM] info: 	AFTER DB Connection Close
[2024-12-05 10:50:57.492 AM] info: 	BEFORE DB Execution
[2024-12-05 10:50:57.504 AM] info: 	BEFORE DB Execution
[2024-12-05 10:50:57.506 AM] info: 	AFTER DB Execution Success
[2024-12-05 10:50:57.507 AM] info: 	BEFORE DB Connection Close
[2024-12-05 10:50:57.507 AM] info: 	BEFORE DB Get Connection
[2024-12-05 10:50:57.509 AM] info: 	AFTER DB Connection Close
[2024-12-05 10:50:57.556 AM] info: 	BEFORE DB Execution
[2024-12-05 10:50:57.564 AM] info: 	AFTER DB Execution Success
[2024-12-05 10:50:57.564 AM] info: 	BEFORE DB Connection Close
[2024-12-05 10:50:57.564 AM] info: 	BEFORE DB Get Connection
[2024-12-05 10:50:57.566 AM] info: 	AFTER DB Connection Close
[2024-12-05 10:50:57.577 AM] info: 	AFTER DB Execution Success
[2024-12-05 10:50:57.578 AM] info: 	BEFORE DB Connection Close
[2024-12-05 10:50:57.578 AM] info: 	BEFORE DB Get Connection
[2024-12-05 10:50:57.580 AM] info: 	AFTER DB Connection Close
[2024-12-05 10:50:57.601 AM] info: 	BEFORE DB Execution
[2024-12-05 10:50:57.604 AM] info: 	BEFORE DB Execution
[2024-12-05 10:50:57.610 AM] info: 	AFTER DB Execution Success
[2024-12-05 10:50:57.610 AM] info: 	BEFORE DB Connection Close
[2024-12-05 10:50:57.611 AM] info: 	BEFORE DB Get Connection
[2024-12-05 10:50:57.613 AM] info: 	AFTER DB Connection Close
[2024-12-05 10:50:57.639 AM] info: 	BEFORE DB Execution
[2024-12-05 10:50:57.671 AM] info: 	AFTER DB Execution Success
[2024-12-05 10:50:57.671 AM] info: 	BEFORE DB Connection Close
[2024-12-05 10:50:57.671 AM] info: 	BEFORE DB Get Connection
[2024-12-05 10:50:57.674 AM] info: 	AFTER DB Connection Close
[2024-12-05 10:50:57.690 AM] info: 	AFTER DB Execution Success
[2024-12-05 10:50:57.690 AM] info: 	BEFORE DB Connection Close
[2024-12-05 10:50:57.690 AM] info: 	BEFORE DB Get Connection
[2024-12-05 10:50:57.692 AM] info: 	AFTER DB Connection Close
[2024-12-05 10:50:57.697 AM] info: 	BEFORE DB Execution
[2024-12-05 10:50:57.704 AM] info: 	AFTER DB Execution Success
[2024-12-05 10:50:57.704 AM] info: 	BEFORE DB Connection Close
[2024-12-05 10:50:57.706 AM] info: 	AFTER DB Connection Close
[2024-12-05 10:50:57.745 AM] info: 	BEFORE DB Execution
[2024-12-05 10:50:57.750 AM] info: 	AFTER DB Execution Success
[2024-12-05 10:50:57.750 AM] info: 	BEFORE DB Connection Close
[2024-12-05 10:50:57.750 AM] info: 	BEFORE DB Get Connection
[2024-12-05 10:50:57.753 AM] info: 	AFTER DB Connection Close
[2024-12-05 10:50:57.789 AM] info: 	BEFORE DB Execution
[2024-12-05 10:50:57.925 AM] info: 	AFTER DB Execution Success
[2024-12-05 10:50:57.925 AM] info: 	BEFORE DB Connection Close
[2024-12-05 10:50:57.925 AM] info: 	BEFORE DB Get Connection
[2024-12-05 10:50:57.927 AM] info: 	AFTER DB Connection Close
[2024-12-05 10:50:57.955 AM] info: 	BEFORE DB Execution
[2024-12-05 10:50:57.958 AM] info: 	AFTER DB Execution Success
[2024-12-05 10:50:57.958 AM] info: 	BEFORE DB Connection Close
[2024-12-05 10:50:57.972 AM] info: 	AFTER DB Connection Close
[2024-12-05 10:50:58.139 AM] info: 	BEFORE DB Get Connection
[2024-12-05 10:50:58.166 AM] info: 	BEFORE DB Execution
[2024-12-05 10:50:58.167 AM] info: 	AFTER DB Execution Success
[2024-12-05 10:50:58.167 AM] info: 	BEFORE DB Connection Close
[2024-12-05 10:50:58.168 AM] info: 	BEFORE DB Get Connection
[2024-12-05 10:50:58.170 AM] info: 	AFTER DB Connection Close
[2024-12-05 10:50:58.209 AM] info: 	BEFORE DB Execution
[2024-12-05 10:50:58.211 AM] info: 	AFTER DB Execution Success
[2024-12-05 10:50:58.211 AM] info: 	BEFORE DB Connection Close
[2024-12-05 10:50:58.212 AM] info: 	BEFORE DB Get Connection
[2024-12-05 10:50:58.214 AM] info: 	AFTER DB Connection Close
[2024-12-05 10:50:58.245 AM] info: 	BEFORE DB Execution
[2024-12-05 10:50:58.252 AM] info: 	AFTER DB Execution Success
[2024-12-05 10:50:58.252 AM] info: 	BEFORE DB Connection Close
[2024-12-05 10:50:58.253 AM] info: 	BEFORE DB Get Connection
[2024-12-05 10:50:58.255 AM] info: 	AFTER DB Connection Close
[2024-12-05 10:50:58.293 AM] info: 	BEFORE DB Execution
[2024-12-05 10:50:58.296 AM] info: 	AFTER DB Execution Success
[2024-12-05 10:50:58.297 AM] info: 	BEFORE DB Connection Close
[2024-12-05 10:50:58.297 AM] info: 	BEFORE DB Get Connection
[2024-12-05 10:50:58.299 AM] info: 	AFTER DB Connection Close
[2024-12-05 10:50:58.323 AM] info: 	BEFORE DB Execution
[2024-12-05 10:50:58.356 AM] info: 	AFTER DB Execution Success
[2024-12-05 10:50:58.356 AM] info: 	BEFORE DB Connection Close
[2024-12-05 10:50:58.356 AM] info: 	BEFORE DB Get Connection
[2024-12-05 10:50:58.358 AM] info: 	AFTER DB Connection Close
[2024-12-05 10:50:58.390 AM] info: 	BEFORE DB Execution
[2024-12-05 10:50:58.396 AM] info: 	AFTER DB Execution Success
[2024-12-05 10:50:58.396 AM] info: 	BEFORE DB Connection Close
[2024-12-05 10:50:58.400 AM] info: 	AFTER DB Connection Close
[2024-12-05 10:51:11.797 AM] info: 	BEFORE DB Get Connection
[2024-12-05 10:51:11.799 AM] info: 	BEFORE DB Get Connection
[2024-12-05 10:51:11.815 AM] info: 	BEFORE DB Get Connection
[2024-12-05 10:51:11.826 AM] info: 	BEFORE DB Execution
[2024-12-05 10:51:11.827 AM] info: 	AFTER DB Execution Success
[2024-12-05 10:51:11.828 AM] info: 	BEFORE DB Connection Close
[2024-12-05 10:51:11.828 AM] info: 	BEFORE DB Get Connection
[2024-12-05 10:51:11.830 AM] info: 	AFTER DB Connection Close
[2024-12-05 10:51:11.840 AM] info: 	BEFORE DB Execution
[2024-12-05 10:51:11.841 AM] info: 	AFTER DB Execution Success
[2024-12-05 10:51:11.842 AM] info: 	BEFORE DB Connection Close
[2024-12-05 10:51:11.842 AM] info: 	BEFORE DB Get Connection
[2024-12-05 10:51:11.844 AM] info: 	AFTER DB Connection Close
[2024-12-05 10:51:11.844 AM] info: 	BEFORE DB Execution
[2024-12-05 10:51:11.845 AM] info: 	AFTER DB Execution Success
[2024-12-05 10:51:11.845 AM] info: 	BEFORE DB Connection Close
[2024-12-05 10:51:11.846 AM] info: 	BEFORE DB Get Connection
[2024-12-05 10:51:11.848 AM] info: 	AFTER DB Connection Close
[2024-12-05 10:51:11.853 AM] info: 	BEFORE DB Execution
[2024-12-05 10:51:11.855 AM] info: 	AFTER DB Execution Success
[2024-12-05 10:51:11.855 AM] info: 	BEFORE DB Connection Close
[2024-12-05 10:51:11.856 AM] info: 	BEFORE DB Get Connection
[2024-12-05 10:51:11.857 AM] info: 	AFTER DB Connection Close
[2024-12-05 10:51:11.865 AM] info: 	BEFORE DB Execution
[2024-12-05 10:51:11.866 AM] info: 	AFTER DB Execution Success
[2024-12-05 10:51:11.866 AM] info: 	BEFORE DB Connection Close
[2024-12-05 10:51:11.867 AM] info: 	BEFORE DB Get Connection
[2024-12-05 10:51:11.869 AM] info: 	AFTER DB Connection Close
[2024-12-05 10:51:11.872 AM] info: 	BEFORE DB Execution
[2024-12-05 10:51:11.874 AM] info: 	AFTER DB Execution Success
[2024-12-05 10:51:11.874 AM] info: 	BEFORE DB Connection Close
[2024-12-05 10:51:11.875 AM] info: 	BEFORE DB Get Connection
[2024-12-05 10:51:11.876 AM] info: 	AFTER DB Connection Close
[2024-12-05 10:51:11.893 AM] info: 	BEFORE DB Execution
[2024-12-05 10:51:11.899 AM] info: 	BEFORE DB Execution
[2024-12-05 10:51:11.908 AM] info: 	BEFORE DB Execution
[2024-12-05 10:51:11.916 AM] info: 	AFTER DB Execution Success
[2024-12-05 10:51:11.916 AM] info: 	BEFORE DB Connection Close
[2024-12-05 10:51:11.916 AM] info: 	BEFORE DB Get Connection
[2024-12-05 10:51:11.918 AM] info: 	AFTER DB Connection Close
[2024-12-05 10:51:11.918 AM] info: 	AFTER DB Execution Success
[2024-12-05 10:51:11.919 AM] info: 	BEFORE DB Connection Close
[2024-12-05 10:51:11.919 AM] info: 	BEFORE DB Get Connection
[2024-12-05 10:51:11.924 AM] info: 	AFTER DB Connection Close
[2024-12-05 10:51:11.930 AM] info: 	BEFORE DB Get Connection
[2024-12-05 10:51:11.940 AM] info: 	BEFORE DB Execution
[2024-12-05 10:51:11.942 AM] info: 	AFTER DB Execution Success
[2024-12-05 10:51:11.942 AM] info: 	BEFORE DB Connection Close
[2024-12-05 10:51:11.942 AM] info: 	BEFORE DB Get Connection
[2024-12-05 10:51:11.944 AM] info: 	AFTER DB Connection Close
[2024-12-05 10:51:11.946 AM] info: 	BEFORE DB Execution
[2024-12-05 10:51:11.950 AM] info: 	AFTER DB Execution Success
[2024-12-05 10:51:11.950 AM] info: 	BEFORE DB Connection Close
[2024-12-05 10:51:11.950 AM] info: 	BEFORE DB Get Connection
[2024-12-05 10:51:11.953 AM] info: 	AFTER DB Connection Close
[2024-12-05 10:51:11.957 AM] info: 	BEFORE DB Execution
[2024-12-05 10:51:11.959 AM] info: 	AFTER DB Execution Success
[2024-12-05 10:51:11.959 AM] info: 	BEFORE DB Connection Close
[2024-12-05 10:51:11.959 AM] info: 	BEFORE DB Get Connection
[2024-12-05 10:51:11.961 AM] info: 	AFTER DB Connection Close
[2024-12-05 10:51:11.964 AM] info: 	AFTER DB Execution Success
[2024-12-05 10:51:11.964 AM] info: 	BEFORE DB Connection Close
[2024-12-05 10:51:11.964 AM] info: 	BEFORE DB Get Connection
