[2024-12-18 10:35:50.634 AM] info: 	DB Initialized
[2024-12-18 10:36:49.305 AM] error: 	Autentication Failed false
[2024-12-18 10:36:49.339 AM] info: 	Autentication Success
[2024-12-18 10:36:49.340 AM] info: 	BEFORE DB Get Connection
[2024-12-18 10:36:49.464 AM] info: 	BEFORE DB Execution
[2024-12-18 10:36:49.554 AM] info: 	AFTER DB Execution Success
[2024-12-18 10:36:49.555 AM] info: 	BEFORE DB Connection Close
[2024-12-18 10:36:49.556 AM] info: 	BEFORE DB Get Connection
[2024-12-18 10:36:49.559 AM] info: 	AFTER DB Connection Close
[2024-12-18 10:36:49.593 AM] info: 	BEFORE DB Execution
[2024-12-18 10:36:49.639 AM] info: 	AFTER DB Execution Success
[2024-12-18 10:36:49.640 AM] info: 	BEFORE DB Connection Close
[2024-12-18 10:36:49.649 AM] info: 	AFTER DB Connection Close
[2024-12-18 10:36:51.055 AM] info: 	BEFORE DB Get Connection
[2024-12-18 10:36:51.106 AM] info: 	BEFORE DB Execution
[2024-12-18 10:36:51.179 AM] info: 	AFTER DB Execution Success
[2024-12-18 10:36:51.180 AM] info: 	BEFORE DB Connection Close
[2024-12-18 10:36:51.180 AM] info: 	BEFORE DB Get Connection
[2024-12-18 10:36:51.182 AM] info: 	AFTER DB Connection Close
[2024-12-18 10:36:51.236 AM] info: 	BEFORE DB Execution
[2024-12-18 10:36:51.275 AM] info: 	AFTER DB Execution Success
[2024-12-18 10:36:51.275 AM] info: 	BEFORE DB Connection Close
[2024-12-18 10:36:51.276 AM] info: 	BEFORE DB Get Connection
[2024-12-18 10:36:51.286 AM] info: 	AFTER DB Connection Close
[2024-12-18 10:36:51.298 AM] info: 	BEFORE DB Execution
[2024-12-18 10:36:51.301 AM] info: 	AFTER DB Execution Success
[2024-12-18 10:36:51.302 AM] info: 	BEFORE DB Connection Close
[2024-12-18 10:36:51.302 AM] info: 	BEFORE DB Get Connection
[2024-12-18 10:36:51.312 AM] info: 	AFTER DB Connection Close
[2024-12-18 10:36:51.343 AM] info: 	BEFORE DB Execution
[2024-12-18 10:36:51.346 AM] info: 	AFTER DB Execution Success
[2024-12-18 10:36:51.347 AM] info: 	BEFORE DB Connection Close
[2024-12-18 10:36:51.347 AM] info: 	BEFORE DB Get Connection
[2024-12-18 10:36:51.349 AM] info: 	AFTER DB Connection Close
[2024-12-18 10:36:51.381 AM] info: 	BEFORE DB Execution
[2024-12-18 10:36:51.384 AM] info: 	AFTER DB Execution Success
[2024-12-18 10:36:51.384 AM] info: 	BEFORE DB Connection Close
[2024-12-18 10:36:51.384 AM] info: 	BEFORE DB Get Connection
[2024-12-18 10:36:51.387 AM] info: 	AFTER DB Connection Close
[2024-12-18 10:36:51.419 AM] info: 	BEFORE DB Execution
[2024-12-18 10:36:51.444 AM] info: 	AFTER DB Execution Success
[2024-12-18 10:36:51.444 AM] info: 	BEFORE DB Connection Close
[2024-12-18 10:36:51.447 AM] info: 	AFTER DB Connection Close
[2024-12-18 10:38:25.343 AM] info: 	BEFORE DB Get Connection
[2024-12-18 10:38:25.390 AM] info: 	BEFORE DB Execution
[2024-12-18 10:38:25.435 AM] info: 	AFTER DB Execution Success
[2024-12-18 10:38:25.435 AM] info: 	BEFORE DB Connection Close
[2024-12-18 10:38:25.436 AM] info: 	BEFORE DB Get Connection
[2024-12-18 10:38:25.438 AM] info: 	AFTER DB Connection Close
[2024-12-18 10:38:25.465 AM] info: 	BEFORE DB Execution
[2024-12-18 10:38:25.487 AM] info: 	AFTER DB Execution Success
[2024-12-18 10:38:25.487 AM] info: 	BEFORE DB Connection Close
[2024-12-18 10:38:25.487 AM] info: 	BEFORE DB Get Connection
[2024-12-18 10:38:25.491 AM] info: 	AFTER DB Connection Close
[2024-12-18 10:38:25.518 AM] info: 	BEFORE DB Execution
[2024-12-18 10:38:25.520 AM] info: 	AFTER DB Execution Success
[2024-12-18 10:38:25.520 AM] info: 	BEFORE DB Connection Close
[2024-12-18 10:38:25.520 AM] info: 	BEFORE DB Get Connection
[2024-12-18 10:38:25.522 AM] info: 	AFTER DB Connection Close
[2024-12-18 10:38:25.567 AM] info: 	BEFORE DB Execution
[2024-12-18 10:38:25.573 AM] info: 	AFTER DB Execution Success
[2024-12-18 10:38:25.573 AM] info: 	BEFORE DB Connection Close
[2024-12-18 10:38:25.573 AM] info: 	BEFORE DB Get Connection
[2024-12-18 10:38:25.585 AM] info: 	AFTER DB Connection Close
