[2024-12-06 11:59:00.097 AM] info: 	DB Initialized
[2024-12-06 11:59:32.404 AM] info: 	BEFORE DB Get Connection
[2024-12-06 11:59:32.665 AM] info: 	BEFORE DB Execution
[2024-12-06 11:59:32.703 AM] info: 	AFTER DB Execution Success
[2024-12-06 11:59:32.703 AM] info: 	BEFORE DB Connection Close
[2024-12-06 11:59:32.712 AM] info: 	AFTER DB Connection Close
[2024-12-06 11:59:42.659 AM] info: 	BEFORE DB Get Connection
[2024-12-06 11:59:42.708 AM] info: 	BEFORE DB Execution
[2024-12-06 11:59:42.713 AM] info: 	AFTER DB Execution Success
[2024-12-06 11:59:42.713 AM] info: 	BEFORE DB Connection Close
[2024-12-06 11:59:42.725 AM] info: 	AFTER DB Connection Close
