[2024-12-06 06:11:17.348 PM] error: 	Autentication Failed false
[2024-12-06 06:11:17.381 PM] info: 	Autentication Success
[2024-12-06 06:11:17.381 PM] info: 	BEFORE DB Get Connection
[2024-12-06 06:11:17.497 PM] info: 	BEFORE DB Execution
[2024-12-06 06:11:17.536 PM] info: 	AFTER DB Execution Success
[2024-12-06 06:11:17.536 PM] info: 	BEFORE DB Connection Close
[2024-12-06 06:11:17.536 PM] info: 	BEFORE DB Get Connection
[2024-12-06 06:11:17.563 PM] info: 	AFTER DB Connection Close
[2024-12-06 06:11:17.664 PM] info: 	BEFORE DB Execution
[2024-12-06 06:11:17.679 PM] info: 	AFTER DB Execution Success
[2024-12-06 06:11:17.679 PM] info: 	BEFORE DB Connection Close
[2024-12-06 06:11:17.679 PM] info: 	BEFORE DB Get Connection
[2024-12-06 06:11:17.703 PM] info: 	AFTER DB Connection Close
[2024-12-06 06:11:17.789 PM] info: 	BEFORE DB Execution
[2024-12-06 06:11:17.817 PM] info: 	AFTER DB Execution Success
[2024-12-06 06:11:17.817 PM] info: 	BEFORE DB Connection Close
[2024-12-06 06:11:17.818 PM] info: 	BEFORE DB Get Connection
[2024-12-06 06:11:17.823 PM] info: 	AFTER DB Connection Close
[2024-12-06 06:11:17.903 PM] info: 	BEFORE DB Execution
[2024-12-06 06:11:17.981 PM] info: 	AFTER DB Execution Success
[2024-12-06 06:11:17.981 PM] info: 	BEFORE DB Connection Close
[2024-12-06 06:11:18.007 PM] info: 	AFTER DB Connection Close
[2024-12-06 06:11:18.380 PM] info: 	BEFORE DB Get Connection
[2024-12-06 06:11:18.507 PM] info: 	BEFORE DB Execution
[2024-12-06 06:11:18.574 PM] info: 	AFTER DB Execution Success
[2024-12-06 06:11:18.574 PM] info: 	BEFORE DB Connection Close
[2024-12-06 06:11:18.574 PM] info: 	BEFORE DB Get Connection
[2024-12-06 06:11:18.584 PM] info: 	AFTER DB Connection Close
[2024-12-06 06:11:18.632 PM] info: 	BEFORE DB Execution
[2024-12-06 06:11:18.678 PM] info: 	AFTER DB Execution Success
[2024-12-06 06:11:18.679 PM] info: 	BEFORE DB Connection Close
[2024-12-06 06:11:18.679 PM] info: 	BEFORE DB Get Connection
[2024-12-06 06:11:18.684 PM] info: 	AFTER DB Connection Close
[2024-12-06 06:11:18.732 PM] info: 	BEFORE DB Execution
[2024-12-06 06:11:18.750 PM] info: 	AFTER DB Execution Success
[2024-12-06 06:11:18.750 PM] info: 	BEFORE DB Connection Close
[2024-12-06 06:11:18.750 PM] info: 	BEFORE DB Get Connection
[2024-12-06 06:11:18.753 PM] info: 	AFTER DB Connection Close
[2024-12-06 06:11:18.809 PM] info: 	BEFORE DB Execution
[2024-12-06 06:11:18.830 PM] info: 	AFTER DB Execution Success
[2024-12-06 06:11:18.830 PM] info: 	BEFORE DB Connection Close
[2024-12-06 06:11:18.830 PM] info: 	BEFORE DB Get Connection
[2024-12-06 06:11:18.836 PM] info: 	AFTER DB Connection Close
