[2024-12-13 03:03:41.449 PM] error: 	Autentication Failed false
[2024-12-13 03:03:41.510 PM] info: 	Autentication Success
[2024-12-13 03:03:41.510 PM] info: 	BEFORE DB Get Connection
[2024-12-13 03:03:41.659 PM] info: 	BEFORE DB Execution
[2024-12-13 03:03:41.699 PM] info: 	AFTER DB Execution Success
[2024-12-13 03:03:41.699 PM] info: 	BEFORE DB Connection Close
[2024-12-13 03:03:41.700 PM] info: 	BEFORE DB Get Connection
[2024-12-13 03:03:41.705 PM] info: 	AFTER DB Connection Close
[2024-12-13 03:03:41.740 PM] info: 	BEFORE DB Execution
[2024-12-13 03:03:41.775 PM] info: 	AFTER DB Execution Success
[2024-12-13 03:03:41.776 PM] info: 	BEFORE DB Connection Close
[2024-12-13 03:03:41.796 PM] info: 	AFTER DB Connection Close
[2024-12-13 03:03:43.379 PM] info: 	BEFORE DB Get Connection
[2024-12-13 03:03:43.421 PM] info: 	BEFORE DB Execution
[2024-12-13 03:03:43.457 PM] info: 	AFTER DB Execution Success
[2024-12-13 03:03:43.458 PM] info: 	BEFORE DB Connection Close
[2024-12-13 03:03:43.458 PM] info: 	BEFORE DB Get Connection
[2024-12-13 03:03:43.460 PM] info: 	AFTER DB Connection Close
[2024-12-13 03:03:43.482 PM] info: 	BEFORE DB Execution
[2024-12-13 03:03:43.507 PM] info: 	AFTER DB Execution Success
[2024-12-13 03:03:43.507 PM] info: 	BEFORE DB Connection Close
[2024-12-13 03:03:43.507 PM] info: 	BEFORE DB Get Connection
[2024-12-13 03:03:43.510 PM] info: 	AFTER DB Connection Close
[2024-12-13 03:03:43.532 PM] info: 	BEFORE DB Execution
[2024-12-13 03:03:43.534 PM] info: 	AFTER DB Execution Success
[2024-12-13 03:03:43.534 PM] info: 	BEFORE DB Connection Close
[2024-12-13 03:03:43.534 PM] info: 	BEFORE DB Get Connection
[2024-12-13 03:03:43.536 PM] info: 	AFTER DB Connection Close
[2024-12-13 03:03:43.568 PM] info: 	BEFORE DB Execution
[2024-12-13 03:03:43.570 PM] info: 	AFTER DB Execution Success
[2024-12-13 03:03:43.570 PM] info: 	BEFORE DB Connection Close
[2024-12-13 03:03:43.570 PM] info: 	BEFORE DB Get Connection
[2024-12-13 03:03:43.575 PM] info: 	AFTER DB Connection Close
[2024-12-13 03:03:43.603 PM] info: 	BEFORE DB Execution
[2024-12-13 03:03:43.604 PM] info: 	AFTER DB Execution Success
[2024-12-13 03:03:43.604 PM] info: 	BEFORE DB Connection Close
[2024-12-13 03:03:43.605 PM] info: 	BEFORE DB Get Connection
[2024-12-13 03:03:43.607 PM] info: 	AFTER DB Connection Close
[2024-12-13 03:03:43.632 PM] info: 	BEFORE DB Execution
[2024-12-13 03:03:43.634 PM] info: 	AFTER DB Execution Success
[2024-12-13 03:03:43.634 PM] info: 	BEFORE DB Connection Close
[2024-12-13 03:03:43.643 PM] info: 	AFTER DB Connection Close
[2024-12-13 03:03:45.241 PM] info: 	BEFORE DB Get Connection
[2024-12-13 03:03:45.271 PM] info: 	BEFORE DB Execution
[2024-12-13 03:03:45.274 PM] info: 	AFTER DB Execution Success
[2024-12-13 03:03:45.274 PM] info: 	BEFORE DB Connection Close
[2024-12-13 03:03:45.274 PM] info: 	BEFORE DB Get Connection
[2024-12-13 03:03:45.277 PM] info: 	BEFORE DB Get Connection
[2024-12-13 03:03:45.278 PM] info: 	AFTER DB Connection Close
[2024-12-13 03:03:45.303 PM] info: 	BEFORE DB Execution
[2024-12-13 03:03:45.304 PM] info: 	AFTER DB Execution Success
[2024-12-13 03:03:45.304 PM] info: 	BEFORE DB Connection Close
