[2024-07-22 12:18:13.207 PM] info: 	DB Initialized
[2024-07-22 12:19:36.172 PM] error: 	Autentication Failed false
[2024-07-22 12:19:36.207 PM] info: 	Autentication Success
[2024-07-22 12:19:36.208 PM] info: 	BEFORE DB Get Connection
[2024-07-22 12:19:36.348 PM] info: 	BEFORE DB Execution
[2024-07-22 12:19:36.392 PM] info: 	AFTER DB Execution Success
[2024-07-22 12:19:36.392 PM] info: 	BEFORE DB Connection Close
[2024-07-22 12:19:36.393 PM] info: 	BEFORE DB Get Connection
[2024-07-22 12:19:36.397 PM] info: 	AFTER DB Connection Close
[2024-07-22 12:19:36.427 PM] info: 	BEFORE DB Execution
[2024-07-22 12:19:36.433 PM] info: 	AFTER DB Execution Success
[2024-07-22 12:19:36.434 PM] info: 	BEFORE DB Connection Close
[2024-07-22 12:19:36.435 PM] info: 	BEFORE DB Get Connection
[2024-07-22 12:19:36.437 PM] info: 	AFTER DB Connection Close
[2024-07-22 12:19:36.476 PM] info: 	BEFORE DB Execution
[2024-07-22 12:19:36.551 PM] info: 	AFTER DB Execution Success
[2024-07-22 12:19:36.551 PM] info: 	BEFORE DB Connection Close
[2024-07-22 12:19:36.563 PM] info: 	AFTER DB Connection Close
[2024-07-22 12:19:38.379 PM] info: 	BEFORE DB Get Connection
[2024-07-22 12:19:38.422 PM] info: 	BEFORE DB Execution
[2024-07-22 12:19:38.473 PM] info: 	AFTER DB Execution Success
[2024-07-22 12:19:38.473 PM] info: 	BEFORE DB Connection Close
[2024-07-22 12:19:38.473 PM] info: 	BEFORE DB Get Connection
[2024-07-22 12:19:38.475 PM] info: 	AFTER DB Connection Close
[2024-07-22 12:19:38.496 PM] info: 	BEFORE DB Execution
[2024-07-22 12:19:38.528 PM] info: 	AFTER DB Execution Success
[2024-07-22 12:19:38.528 PM] info: 	BEFORE DB Connection Close
[2024-07-22 12:19:38.528 PM] info: 	BEFORE DB Get Connection
[2024-07-22 12:19:38.538 PM] info: 	AFTER DB Connection Close
[2024-07-22 12:19:38.562 PM] info: 	BEFORE DB Execution
[2024-07-22 12:19:38.564 PM] info: 	AFTER DB Execution Success
[2024-07-22 12:19:38.565 PM] info: 	BEFORE DB Connection Close
[2024-07-22 12:19:38.567 PM] info: 	AFTER DB Connection Close
[2024-07-22 12:19:43.602 PM] info: 	BEFORE DB Get Connection
[2024-07-22 12:19:43.607 PM] info: 	BEFORE DB Get Connection
[2024-07-22 12:19:43.628 PM] info: 	BEFORE DB Execution
[2024-07-22 12:19:43.631 PM] info: 	AFTER DB Execution Success
[2024-07-22 12:19:43.631 PM] info: 	BEFORE DB Connection Close
[2024-07-22 12:19:43.632 PM] info: 	BEFORE DB Get Connection
[2024-07-22 12:19:43.633 PM] info: 	AFTER DB Connection Close
[2024-07-22 12:19:43.657 PM] info: 	BEFORE DB Execution
[2024-07-22 12:19:43.660 PM] info: 	AFTER DB Execution Success
[2024-07-22 12:19:43.660 PM] info: 	BEFORE DB Connection Close
[2024-07-22 12:19:43.660 PM] info: 	BEFORE DB Get Connection
[2024-07-22 12:19:43.661 PM] info: 	BEFORE DB Execution
[2024-07-22 12:19:43.663 PM] info: 	AFTER DB Connection Close
[2024-07-22 12:19:43.664 PM] info: 	AFTER DB Execution Success
[2024-07-22 12:19:43.664 PM] info: 	BEFORE DB Connection Close
[2024-07-22 12:19:43.664 PM] info: 	BEFORE DB Get Connection
[2024-07-22 12:19:43.668 PM] info: 	AFTER DB Connection Close
[2024-07-22 12:19:43.691 PM] info: 	BEFORE DB Execution
[2024-07-22 12:19:43.694 PM] info: 	AFTER DB Execution Success
[2024-07-22 12:19:43.694 PM] info: 	BEFORE DB Connection Close
[2024-07-22 12:19:43.694 PM] info: 	BEFORE DB Get Connection
[2024-07-22 12:19:43.696 PM] info: 	AFTER DB Connection Close
[2024-07-22 12:19:43.700 PM] info: 	BEFORE DB Execution
[2024-07-22 12:19:43.734 PM] info: 	BEFORE DB Execution
[2024-07-22 12:19:43.761 PM] info: 	AFTER DB Execution Success
[2024-07-22 12:19:43.761 PM] info: 	BEFORE DB Connection Close
[2024-07-22 12:19:43.761 PM] info: 	BEFORE DB Get Connection
[2024-07-22 12:19:43.762 PM] info: 	AFTER DB Execution Success
