[2024-07-22 05:17:42.299 PM] error: 	Autentication Failed false
[2024-07-22 05:17:42.338 PM] info: 	Autentication Success
[2024-07-22 05:17:42.338 PM] info: 	BEFORE DB Get Connection
[2024-07-22 05:17:42.372 PM] info: 	BEFORE DB Execution
[2024-07-22 05:17:42.405 PM] info: 	AFTER DB Execution Success
[2024-07-22 05:17:42.406 PM] info: 	BEFORE DB Connection Close
[2024-07-22 05:17:42.406 PM] info: 	BEFORE DB Get Connection
[2024-07-22 05:17:42.411 PM] info: 	AFTER DB Connection Close
[2024-07-22 05:17:42.441 PM] info: 	BEFORE DB Execution
[2024-07-22 05:17:42.444 PM] info: 	AFTER DB Execution Success
[2024-07-22 05:17:42.444 PM] info: 	BEFORE DB Connection Close
[2024-07-22 05:17:42.444 PM] info: 	BEFORE DB Get Connection
[2024-07-22 05:17:42.446 PM] info: 	AFTER DB Connection Close
[2024-07-22 05:17:42.475 PM] info: 	BEFORE DB Execution
[2024-07-22 05:17:42.524 PM] info: 	AFTER DB Execution Success
[2024-07-22 05:17:42.524 PM] info: 	BEFORE DB Connection Close
[2024-07-22 05:17:42.533 PM] info: 	AFTER DB Connection Close
[2024-07-22 05:17:43.833 PM] info: 	BEFORE DB Get Connection
[2024-07-22 05:17:43.871 PM] info: 	BEFORE DB Execution
[2024-07-22 05:17:43.900 PM] info: 	AFTER DB Execution Success
[2024-07-22 05:17:43.900 PM] info: 	BEFORE DB Connection Close
[2024-07-22 05:17:43.900 PM] info: 	BEFORE DB Get Connection
[2024-07-22 05:17:43.903 PM] info: 	AFTER DB Connection Close
[2024-07-22 05:17:43.924 PM] info: 	BEFORE DB Execution
[2024-07-22 05:17:43.955 PM] info: 	AFTER DB Execution Success
[2024-07-22 05:17:43.955 PM] info: 	BEFORE DB Connection Close
[2024-07-22 05:17:43.955 PM] info: 	BEFORE DB Get Connection
[2024-07-22 05:17:43.957 PM] info: 	AFTER DB Connection Close
[2024-07-22 05:17:43.995 PM] info: 	BEFORE DB Execution
[2024-07-22 05:17:43.998 PM] info: 	AFTER DB Execution Success
[2024-07-22 05:17:43.999 PM] info: 	BEFORE DB Connection Close
[2024-07-22 05:17:44.003 PM] info: 	AFTER DB Connection Close
