[2024-12-13 04:34:20.923 PM] error: 	Autentication Failed false
[2024-12-13 04:34:20.956 PM] info: 	Autentication Success
[2024-12-13 04:34:20.956 PM] info: 	BEFORE DB Get Connection
[2024-12-13 04:34:20.993 PM] info: 	BEFORE DB Execution
[2024-12-13 04:34:21.026 PM] info: 	AFTER DB Execution Success
[2024-12-13 04:34:21.027 PM] info: 	BEFORE DB Connection Close
[2024-12-13 04:34:21.027 PM] info: 	BEFORE DB Get Connection
[2024-12-13 04:34:21.029 PM] info: 	AFTER DB Connection Close
[2024-12-13 04:34:21.051 PM] info: 	BEFORE DB Execution
[2024-12-13 04:34:21.135 PM] info: 	AFTER DB Execution Success
[2024-12-13 04:34:21.136 PM] info: 	BEFORE DB Connection Close
[2024-12-13 04:34:21.147 PM] info: 	AFTER DB Connection Close
[2024-12-13 04:34:22.604 PM] info: 	BEFORE DB Get Connection
[2024-12-13 04:34:22.652 PM] info: 	BEFORE DB Execution
[2024-12-13 04:34:22.696 PM] info: 	AFTER DB Execution Success
[2024-12-13 04:34:22.696 PM] info: 	BEFORE DB Connection Close
[2024-12-13 04:34:22.697 PM] info: 	BEFORE DB Get Connection
[2024-12-13 04:34:22.702 PM] info: 	AFTER DB Connection Close
[2024-12-13 04:34:22.753 PM] info: 	BEFORE DB Execution
[2024-12-13 04:34:22.767 PM] info: 	AFTER DB Execution Success
[2024-12-13 04:34:22.768 PM] info: 	BEFORE DB Connection Close
[2024-12-13 04:34:22.768 PM] info: 	BEFORE DB Get Connection
[2024-12-13 04:34:22.770 PM] info: 	AFTER DB Connection Close
[2024-12-13 04:34:22.791 PM] info: 	BEFORE DB Execution
[2024-12-13 04:34:22.792 PM] info: 	AFTER DB Execution Success
[2024-12-13 04:34:22.793 PM] info: 	BEFORE DB Connection Close
[2024-12-13 04:34:22.793 PM] info: 	BEFORE DB Get Connection
[2024-12-13 04:34:22.795 PM] info: 	AFTER DB Connection Close
[2024-12-13 04:34:22.817 PM] info: 	BEFORE DB Execution
[2024-12-13 04:34:22.819 PM] info: 	AFTER DB Execution Success
