[2024-12-12 04:57:51.238 PM] error: 	Autentication Failed false
[2024-12-12 04:57:51.262 PM] info: 	Autentication Success
[2024-12-12 04:57:51.262 PM] info: 	BEFORE DB Get Connection
[2024-12-12 04:57:51.298 PM] info: 	BEFORE DB Execution
[2024-12-12 04:57:51.332 PM] info: 	AFTER DB Execution Success
[2024-12-12 04:57:51.332 PM] info: 	BEFORE DB Connection Close
[2024-12-12 04:57:51.333 PM] info: 	BEFORE DB Get Connection
[2024-12-12 04:57:51.336 PM] info: 	AFTER DB Connection Close
[2024-12-12 04:57:51.366 PM] info: 	BEFORE DB Execution
[2024-12-12 04:57:51.408 PM] info: 	AFTER DB Execution Success
[2024-12-12 04:57:51.409 PM] info: 	BEFORE DB Connection Close
[2024-12-12 04:57:51.421 PM] info: 	AFTER DB Connection Close
[2024-12-12 04:57:52.627 PM] info: 	BEFORE DB Get Connection
[2024-12-12 04:57:52.664 PM] info: 	BEFORE DB Execution
[2024-12-12 04:57:52.695 PM] info: 	AFTER DB Execution Success
[2024-12-12 04:57:52.695 PM] info: 	BEFORE DB Connection Close
[2024-12-12 04:57:52.695 PM] info: 	BEFORE DB Get Connection
[2024-12-12 04:57:52.697 PM] info: 	AFTER DB Connection Close
[2024-12-12 04:57:52.744 PM] info: 	BEFORE DB Execution
[2024-12-12 04:57:52.754 PM] info: 	AFTER DB Execution Success
[2024-12-12 04:57:52.754 PM] info: 	BEFORE DB Connection Close
[2024-12-12 04:57:52.755 PM] info: 	BEFORE DB Get Connection
[2024-12-12 04:57:52.757 PM] info: 	AFTER DB Connection Close
[2024-12-12 04:57:52.782 PM] info: 	BEFORE DB Execution
[2024-12-12 04:57:52.783 PM] info: 	AFTER DB Execution Success
[2024-12-12 04:57:52.783 PM] info: 	BEFORE DB Connection Close
[2024-12-12 04:57:52.783 PM] info: 	BEFORE DB Get Connection
[2024-12-12 04:57:52.785 PM] info: 	AFTER DB Connection Close
[2024-12-12 04:57:52.807 PM] info: 	BEFORE DB Execution
[2024-12-12 04:57:52.808 PM] info: 	AFTER DB Execution Success
[2024-12-12 04:57:52.808 PM] info: 	BEFORE DB Connection Close
[2024-12-12 04:57:52.808 PM] info: 	BEFORE DB Get Connection
[2024-12-12 04:57:52.810 PM] info: 	AFTER DB Connection Close
[2024-12-12 04:57:52.861 PM] info: 	BEFORE DB Execution
[2024-12-12 04:57:52.862 PM] info: 	AFTER DB Execution Success
[2024-12-12 04:57:52.862 PM] info: 	BEFORE DB Connection Close
[2024-12-12 04:57:52.862 PM] info: 	BEFORE DB Get Connection
[2024-12-12 04:57:52.864 PM] info: 	AFTER DB Connection Close
[2024-12-12 04:57:52.889 PM] info: 	BEFORE DB Execution
[2024-12-12 04:57:52.894 PM] info: 	AFTER DB Execution Success
[2024-12-12 04:57:52.894 PM] info: 	BEFORE DB Connection Close
[2024-12-12 04:57:52.901 PM] info: 	AFTER DB Connection Close
[2024-12-12 04:57:54.800 PM] info: 	BEFORE DB Get Connection
[2024-12-12 04:57:54.824 PM] info: 	BEFORE DB Execution
[2024-12-12 04:57:54.826 PM] info: 	AFTER DB Execution Success
[2024-12-12 04:57:54.826 PM] info: 	BEFORE DB Connection Close
[2024-12-12 04:57:54.826 PM] info: 	BEFORE DB Get Connection
[2024-12-12 04:57:54.828 PM] info: 	AFTER DB Connection Close
[2024-12-12 04:57:54.841 PM] info: 	BEFORE DB Get Connection
[2024-12-12 04:57:54.853 PM] info: 	BEFORE DB Execution
[2024-12-12 04:57:54.855 PM] info: 	AFTER DB Execution Success
[2024-12-12 04:57:54.855 PM] info: 	BEFORE DB Connection Close
[2024-12-12 04:57:54.856 PM] info: 	BEFORE DB Get Connection
[2024-12-12 04:57:54.860 PM] info: 	AFTER DB Connection Close
[2024-12-12 04:57:54.883 PM] info: 	BEFORE DB Execution
[2024-12-12 04:57:54.884 PM] info: 	BEFORE DB Execution
[2024-12-12 04:57:54.885 PM] info: 	AFTER DB Execution Success
[2024-12-12 04:57:54.885 PM] info: 	BEFORE DB Connection Close
[2024-12-12 04:57:54.885 PM] info: 	BEFORE DB Get Connection
[2024-12-12 04:57:54.890 PM] info: 	AFTER DB Connection Close
[2024-12-12 04:57:54.911 PM] info: 	BEFORE DB Execution
[2024-12-12 04:57:54.913 PM] info: 	AFTER DB Execution Success
[2024-12-12 04:57:54.913 PM] info: 	BEFORE DB Connection Close
[2024-12-12 04:57:54.913 PM] info: 	BEFORE DB Get Connection
[2024-12-12 04:57:54.915 PM] info: 	AFTER DB Connection Close
[2024-12-12 04:57:54.936 PM] info: 	BEFORE DB Execution
[2024-12-12 04:57:54.953 PM] info: 	AFTER DB Execution Success
[2024-12-12 04:57:54.953 PM] info: 	BEFORE DB Connection Close
[2024-12-12 04:57:54.953 PM] info: 	BEFORE DB Get Connection
[2024-12-12 04:57:54.953 PM] info: 	AFTER DB Execution Success
[2024-12-12 04:57:54.953 PM] info: 	BEFORE DB Connection Close
[2024-12-12 04:57:54.953 PM] info: 	BEFORE DB Get Connection
[2024-12-12 04:57:54.955 PM] info: 	AFTER DB Connection Close
[2024-12-12 04:57:54.956 PM] info: 	AFTER DB Connection Close
[2024-12-12 04:57:54.979 PM] info: 	BEFORE DB Execution
[2024-12-12 04:57:54.982 PM] info: 	AFTER DB Execution Success
[2024-12-12 04:57:54.982 PM] info: 	BEFORE DB Connection Close
[2024-12-12 04:57:54.982 PM] info: 	BEFORE DB Get Connection
[2024-12-12 04:57:54.984 PM] info: 	AFTER DB Connection Close
[2024-12-12 04:57:54.986 PM] info: 	BEFORE DB Execution
[2024-12-12 04:57:55.015 PM] info: 	BEFORE DB Execution
[2024-12-12 04:57:55.064 PM] info: 	AFTER DB Execution Success
[2024-12-12 04:57:55.064 PM] info: 	BEFORE DB Connection Close
[2024-12-12 04:57:55.064 PM] info: 	BEFORE DB Get Connection
[2024-12-12 04:57:55.067 PM] info: 	AFTER DB Connection Close
[2024-12-12 04:57:55.087 PM] info: 	AFTER DB Execution Success
[2024-12-12 04:57:55.087 PM] info: 	BEFORE DB Connection Close
[2024-12-12 04:57:55.087 PM] info: 	BEFORE DB Get Connection
[2024-12-12 04:57:55.090 PM] info: 	AFTER DB Connection Close
[2024-12-12 04:57:55.100 PM] info: 	BEFORE DB Execution
[2024-12-12 04:57:55.103 PM] info: 	AFTER DB Execution Success
[2024-12-12 04:57:55.103 PM] info: 	BEFORE DB Connection Close
[2024-12-12 04:57:55.106 PM] info: 	AFTER DB Connection Close
[2024-12-12 04:57:55.115 PM] info: 	BEFORE DB Execution
[2024-12-12 04:57:55.117 PM] info: 	AFTER DB Execution Success
